trimId,trim_name
t69025,C 300 4MATIC Cabriolet
t87522,SXT Plus
t75248,SX Turbo
t58399,Lariat SuperCrew LB
t87088,Limited X
t82932,GT Plus
t81836,XL SuperCab
t68649,2.0T Premium Sedan
t69553,Red Sport 400 Coupe
t66966,S
t79130,EX Turbo
t75307,Limited RWD
t52269,Limited
t72999,Touring Launch Edition
t73001,LX
t52716,American Value Package
t75513,EX-L
t82856,SE
t75753,!
t75394,LX
t87630,GT
t86941,Tradesman Crew Cab
t94165,Willys
t53420,LX
t33068,SE
t57471,LX
t69343,1.4T SE
t49140,GT Coupe RWD
t76533,LX
t72553,LX
t53261,Limited
t69347,SE 4Motion
t91119,Luxury
t87091,Overland
t85750,2.0T LT
t55109,SE
t91851,Z71 Crew Cab
t90117,R/T Scat Pack Widebody RWD
t87865,Luxury Sedan
t68233,L 7-Passenger
t58377,XLT SuperCab
t87518,R/T
t68519,S
t39289,S
t42876,535i Sedan RWD
t85763,LS
t86939,Rebel Crew Cab
t12554,Touring Wagon
t86498,LT Double Cab
t429,SE
t75246,LX V6
t34206,2.5i
t44015,GLS
t7056,Limited
t28769,Arc 2.3T
t17735,XLS
t86507,Limited
t28981,2.5L
t86727,Sport S
t86483,LT Crew Cab
t90106,Scat Pack Widebody RWD
t87099,Trailhawk
t25533,XJ Vanden Plas RWD
t15999,300
t86937,Limited Crew Cab
t36100,2.5 SL
t79317,CS Sedan RWD
t55066,2.5 SV
t94168,Sahara
t337,Limited
t67667,E 300 4MATIC
t69354,330i xDrive Sedan
t34064,2.4i
t74177,GLA 250 4MATIC
t27961,SE
t73206,750i xDrive
t86932,Laramie Crew Cab
t74030,C 300 Sport
t18047,LE
t41508,2.0T Limited
t87080,High Altitude
t76331,2.5 SR
t68044,E 400 Cabriolet
t75585,GLE 350 4MATIC
t76400,EX
t12106,EX
t85756,LS
t38628,Sport SuperCab 4-Door
t58313,E 350 4MATIC
t90632,1LT
t67302,640i xDrive Gran Coupe
t73955,Launch Edition 4Motion
t85017,430i xDrive Coupe
t69453,EX
t86709,Luxury
t40565,LS Sedan
t87093,Summit
t68788,GLA 250 4MATIC
t72679,540i xDrive Sedan
t8013,GS
t84951,Sport S Crew Cab
t69302,440i xDrive Gran Coupe
t75576,E 300 4MATIC Sedan
t69096,Coupe RWD
t37657,550i Sedan RWD
t68943,xDrive35i
t67445,GLS 450
t62162,2.5i SE Wagon
t7017,Sport
t85740,Premium Luxury
t55124,SH-AWD
t31595,CX
t35942,LX-P
t58307,E AMG 63 S-Model
t82912,SH-AWD
t8470,Touring Roadster
t86708,Luxury
t55064,2.5 S
t74032,C 300 Sport 4MATIC
t72678,530i xDrive Sedan
t59266,Passenger
t22632,C 240 Sedan
t91120,Premium Luxury
t68607,GLE 350 4MATIC
t89131,Big Horn Crew Cab
t86723,Sahara
t68102,S 3.0L
t65200,EX
t59736,EX-L
t85744,2.0T LT
t16273,GS
t86711,Premium Luxury
t84952,Overland Crew Cab
t36371,Base
t75498,540i xDrive Sedan
t69296,440i Gran Coupe RWD
t72681,GLC 300 Coupe 4MATIC
t1467,quattro Cabriolet
t87866,Premium Luxury Sedan
t85154,Premium Luxury
t85737,Premium Luxury
t591,4 Dr XL Extended Cab SB
t32082,SLT
t87867,Sport Sedan
t10896,LS
t6398,V6 LX
t73627,M550i xDrive Sedan
t60337,EX
t75594,C 300 4MATIC
t73247,430i xDrive Gran Coupe
t86861,RS
t85919,1LT Coupe RWD
t75580,GLC 300 4MATIC Coupe
t86863,1LT
t68053,LX
t58828,550i xDrive Sedan
t52523,TDI SEL Premium
t73243,430i Gran Coupe RWD
t85155,Sport
t75987,S 450 4MATIC
t68046,E 400 Coupe 4MATIC
t73858,xDrive28i
t86860,Premier
t42251,SE
t36043,Limited
t74174,CLA 250 4MATIC
