sp_id,sp_name
52706,Chaparral Buick GMC
52716,Morristown Chevrolet
52721,Crossway Auto Center
52722,Rice Buick GMC
52751,Dave Kirk Automotive
52757,Ewing Buick GMC
52778,Bert Ogden Chevrolet Cadillac
52789,Hall Buick GMC
52864,Texan Buick GMC
52876,Moore Cadillac
52877,Gay Buick GMC
52901,Powell Watson Motors Inc.
52911,Aransas Autoplex
52922,Covert Chevrolet Buick GMC-Bastrop
52939,Country Chevrolet
52962,Lawrence Hall Chevrolet Buick GMC
52992,Hyman Brothers Automobiles West Broad
53019,McMahon Chevrolet Buick
53037,BMW of Alexandria
53041,Bareford Buick GMC
53042,Malloy Chevrolet-Cadillac
53043,Front Royal Buick GMC
53053,Ken Houtz Chevrolet Buick Incorporated
53060,Duke Chevrolet Buick Cadillac GMC
53069,Berglund Chevrolet Buick
53071,Harvey's Chevrolet Buick Cadillac
53073,GR Chevrolet Buick GMC Cadillac
53074,Crabtree Buick GMC
53093,Art Gamblin Motors
53107,Ruddell Auto Mall
53149,Moses AutoMall of Huntington
53182,Lynch Buick GMC of West Bend
53303,H and H Chevrolet
53306,Fairey Chevrolet-Cadillac
53308,Wilson Chevrolet
53310,Chevrolet of Spartanburg
53324,Palmetto Chevrolet
53325,Patriot Chevrolet of Darlington
53336,Clinkscales Chevrolet
53342,Scenic Chevrolet
53346,Burns Chevrolet Cadillac Inc.
53389,Payne Chevrolet Inc.
53403,Champion Chevrolet Cadillac
53412,Tarr Chevrolet
53416,Volunteer Chevrolet
53420,Reeder Chevrolet
53434,Serra Chevrolet Inc.
53455,Classic Chevrolet Cadillac Denison
53459,Graff Chevrolet Company
53462,Huffines Chevrolet Lewisville
53542,Frank Kent Cadillac
53547,Davis Chevrolet
53580,Granger Chevrolet
53597,Price Chevrolet
53601,Valmark Chevrolet
53609,Ancira Winton Chevrolet
53625,Tipotex Chevrolet
53627,Gillman Chevrolet of Harlingen
53655,Gene Messer Chevrolet
53656,Hanner Chevrolet GMC Trucks
53663,All American Chevrolet of Midland
53692,Valley Motor Sales Inc.
53696,Langway Chevrolet Volkswagen of Manchester
53697,Champlain Chevrolet Incorporated
53708,Ted Britt Chevrolet
53709,Jerry's Chevrolet Leesburg
53710,Country Chevrolet Inc.
53711,Jim McKay Chevrolet Inc
53719,G. Stone Motors Inc.
53721,Tappahannock Chevrolet
53727,Joe Bowman Auto Plaza
53738,Bill Hudgins GMC
53743,Holiday Chevrolet-Cadillac
53745,Parks Chevrolet Richmond
53749,Hall Chevrolet Chesapeake
53752,R. K. Chevrolet
53755,Casey Chevrolet
53759,CMA's Colonial Chevrolet
53776,Jeff Johnson Chevrolet
53780,Fellers Chevrolet
53787,Rick Hendrick Cadillac
53789,Ramey Chevrolet Chrysler Jeep Dodge RAM Tazewell
53791,Jet Chevrolet
53804,Burien Chevrolet
53811,Speedway Chevrolet
53834,Cascade Auto Center
53840,Windy Chevrolet
53843,Chipman and Taylor Chevrolet
53851,Mitchell Chevrolet Inc.
